,Movies,user_0,user_1,user_2,user_3,user_4,user_5,user_6,user_7,user_8,user_9
0,FESTIVO!! Ruta Paseo por Vallvidrera,3.46839763502559,1.8460729769709898,4.02524607307123,3.7087386814256895,2.7299985344752233,0.7246319175436405,3.9667498742667444,0.5646627432288576,4.208904955150613,3.421729941555061
1,FREE ACTING CLASS on How to Create total Freedom & Empower your Performance!,0.30858496281247705,3.906286955551483,3.400035714634366,3.201149109795429,3.8468408347538166,0.08909019147192998,1.1591353031558866,2.4374516268738318,4.1733600689212045,4.073851335404736
2,Kassandra ,3.333057986399294,0.07223771693754821,3.3192225931372965,3.450647392637845,2.54705334687983,3.892416434291053,0.8164187250314264,3.8856327562944015,0.17603451970256534,4.734626048129785
3,The Thursday Language Exchange,1.9133971041753957,0.21710645207254298,1.5903617795406444,0.16983369292587314,1.2831865051876223,3.671891697809584,1.4847413336830406,1.5056080364136974,1.3703229484427093,1.809005784900628
4,Improv Jam and Improv Show!,0.4255531145897201,3.3322551149058772,2.6091988514979185,4.586653221105168,0.9593379221842496,4.678640601749803,1.8040342950409278,3.589542041324154,1.5838761903581733,4.922611256273561
5,¡Vamos a ver COMEDIA GRATIS en el mítico Paraiguas!,1.9620952833647172,1.6727551595376373,2.1546653310255035,3.0264141826093582,2.6758793601192137,1.1082660529149246,4.672024539351875,2.8683154545847014,4.304670736343329,0.690412946091627
6,CLASE TEATRAL GRATUITA ,2.485387636925557,2.7878419788807554,4.265081537286837,3.8924029719917157,0.06018945983290114,0.1540780428910793,4.345981926229101,1.2992021503723188,4.479140326157621,2.105826719105059
7,TODO EN AZUL: “STILL BLUE” ! (exposición comentada en Blueproject Foundation),1.6607453730238197,4.50243869012273,3.217364916330321,0.21991882733041423,3.1634380385455834,3.8801980418863744,1.5808287229575018,1.5537273009703907,4.4205767974453725,4.8006324096386415
8,The Friday Language Exchange,1.8565331029037617,2.519210897946376,4.707396686459626,0.19727363703777978,0.15928951806172764,1.73187314994738,4.456759389840962,2.749224163476116,0.27589059610548916,1.1551746396319906
9,Caminos de ronda de la Costa Brava: Sant Feliu de Guíxols sur,1.828184153671485,3.7359702997502198,3.6054011933754975,0.5988361182361907,3.513799268612294,0.37308608934626286,2.6126073480554712,2.5419257088570655,2.658489577153374,0.7027869418025728
10,Mindfulness,4.253128917463941,2.5504737579775574,3.010100518961421,2.0468189182399845,0.5519221107436401,2.0288650193172204,0.23926744953435997,0.1700171044125104,2.274677599430029,4.280699973731064
11,CLASE TEATRAL GRATUITA,2.242487218067887,1.5603681344146585,0.14444555830479877,3.1865459468687654,3.2487601583362586,1.3760803936683341,0.5545842508216836,1.4134570795014467,1.7094844978136066,2.954894743892689
12,NUEVA RUTA. Laberinto de Horta y sus Secretos,1.5823601853666003,1.0065929402044365,1.3433566784515838,2.916642777932829,4.822106862689307,1.7188305026719068,3.733344561800742,4.253386360454475,0.010212181012306809,2.7412466425478565
13,TOULOUSE-LAUTREC Y EL ESPÍRITU DE MONTMARTRE,1.8086658438815695,1.0057819227312437,0.1200885319637146,1.481136380197805,4.069282852601155,2.7361393814644996,2.4498937180525067,2.3857961024957874,4.815654768587341,0.5929031078768793
14,NUEVA RUTA Gótico Enmascarado,2.2536121419130954,3.057813356461221,0.4036385364362083,3.1381708270726056,4.071994167940017,0.8563899536336494,4.1124774695345865,3.5080051340642306,3.8930992029836937,2.7485363663640845
15,¡Domingo de BARCELONA COMEDY CLUB!,4.576340320703835,0.6193487187951047,1.4054682198012047,0.06884118278950135,4.826890128514543,3.362049636482149,2.8162839102007253,3.0507435623178414,0.6908454566860495,0.6210553637599386
16,RURAL LANDSCAPE WITH TWO FIGURES / PAISATGE RURAL AMB FIGURES,2.2997929056787667,3.4680219661255625,3.9783873662601668,1.3241075336242454,1.1180698563044467,2.5107783039514384,2.317091227396941,0.913014719240442,1.3289827713959084,4.028185024534115
17,The Wednesday Language Exchange,4.118869057561026,0.12379300568516882,1.1179019247782374,1.634656412358545,4.57236103910749,4.152259115574004,1.8755191302047973,3.9037611168731146,4.331268631747553,1.8374513737964027
18,inFAUST + col.loqui postfunció,4.587480584830523,0.6864138930625463,2.844664086549091,1.3396675215310694,4.797588326887015,1.190204462251342,0.2890681032966519,4.8423281474387565,1.5534392690553067,2.2366586483025426
19,Curso de pintura japonesa con tinta (Sumi-e)/Clase of Japanese Ink Painting,2.2976611126848736,2.562321969000678,1.2132139093983185,0.8810866981750926,3.9504190288677976,0.6892070681328477,3.5648917667926727,4.278420858897627,4.818139312314259,2.196822710339176
20,Tardes de Microteatro y Copas,2.722956049729458,1.7258943787113572,0.0052073164127636185,3.2598444602175998,1.539724777623035,4.316769117682674,3.2683341563821684,2.811179713817953,4.744679456389525,2.9967660539211027
